 FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 0819; MOM
@Filename:	XS_0819_transcript
*CHI:	[xxx].
 (00:04:00) *CHI:	[xxx].
*CHI:	[xxx].
*MOT:	uhoh.
*CHI:	[xxx].
*MOT:	let’s roll the ball.
*MOT:	it bounces.
*CHI:	[xxx].
*MOT:	tickletickle.
*MOT:	nono.
*MOT:	get this one [xxx].
*MOT:	get this one.
%com:	noise from the toy.
 (00:04:30) *MOT:	brush.
*MOT:	[xxx] brush.
%com:	noise from toy.
*CHI:	[xxx].
*MOT:	mhm.
*MOT:	I know.
*MOT:	there’s something on your head.
%com:	mother is whispering.
*MOT:	car.
*MOT:	do you want to zoom car?
%com:	noise from toy.
*MOT:	zoomzoom.
%com:	mother is whispering.
(00:05:00) *MOT:	[xxx] look.
%com:	noise from toy.
*MOT:	go ahead.
*MOT:	[xxx].
%com:	mother is whispering.
*MOT:	car vroom.
(00:05:30) *MOT:	vroom.
*MOT:	car.
*MOT:	vroom.
*MOT:	[xxx].
%com:	noise from toy.
*CHI:	[xxx].
*MOT:	what is this?
*MOT:	car on wheels.
(00:60:00) *MOT:	vroomvroomvroomvroom.
*CHI:	[xxx]. 
*CHI:	[xxx].
*MOT:	mhm.
%com:	noise from car.
*CHI:	[xxx].
*CHI:	[xxx].
%com:	mother is humming.
(00:06:30) *CHI:	[xxx].
*MOT:	how about this one?
*MOT:	fuzzy?
%com:	mother is whispering.
*MOT:	I like the fuzzy.
*MOT:	here.
*MOT:	zem.
*MOT:	zemzemzem.
*CHI:	[xxx].
(00:07:00) *MOT:	mhm.
%com:	noise from toy.
*MOT:	how about this one?
*MOT:	what is this?
*MOT:	ooh [xxx] look.
*MOT:	it turns.
*MOT:	it turns.
*MOT:	ah [xxx] turn.
(00:07:30) *MOT:	here let’s see.
*MOT:	[xxx].
%com:	mother is whispering.
*MOT:	it turns.
%com:	noise from toy.
(00:08:00) *CHI:	[xxx].
*MOT:	mhm.
*MOT:	[xxx].
%com:	mother is whispering.
*MOT:	[xxx].
*CHI:	[xxx].
*MOT:	mhm.
(00:08:30) %com:	noise from toy.
*MOT:	[xxx] my shoes okay.
*MOT:	let’s play with this.
*MOT:	ball.
*MOT:	say ball.
%com:	noise from toy.
*CHI:	[xxx].
*MOT:	mhm.
*CHI:	[xxx].
*MOT:	mhm.
*CHI:	[xxx].
*CHI:	[xxx].
(00:09:00) *MOT:	[xxx] fuzzy.
%com:	mother is whispering.
*CHI:	[xxx].
*MOT:	mhm.
*MOT:	do you want this one too?
*MOT:	brushbrushbrush.
*CHI:	[xxx].
*MOT:	uhuh.
*MOT:	brushbrushbrush.
*MOT:	[xxx] nonono.
*MOT:	maybe not that way huh?
*MOT:	[xxx] ouchy.
(00:09:30) 
*MOT:	brush.
*MOT:	yeah it’s probably not good to put in your mouth.
*CHI:	[xxx].
*MOT:	[xxx] brush.
*MOT:	brush.
*MOT:	brushbrushbrush.
(00:10:00) %com:	noises from toys.
*MOT:	mhm.
*MOT:	brushbrushbrush.
*MOT:	brushbrushbrush.
*MOT:	brushbrushbrush.
*MOT:	[xxx].
*MOT:	brushbrushbrush.
*CHI:	[xxx].
*MOT:	mhm.
(00:10:30) *MOT:	brush car.
%com:	noises from toy.
*MOT:	car.
*MOT:	what is this?
*MOT:	let’s try this one.
*CHI:	[xxx].
*MOT:	mhm.
(00:11:00) *MOT:	[xxx].
%com:	noises from toy.
*MOT:	let’s see.
*MOT:	what is this called?
*MOT:	manu.
(00:11:30) *MOT:	how about this?
*MOT:	this.
%com:	noise from toy.
*MOT:	tima.
%com:	noise from toy.
*MOT:	what’s this called?
*MOT:	tima.
*MOT:	pick up the ball.
*MOT:	you like the car huh?
*MOT:	this one makes sounds [xxx].
%com:	noises from toy.
*MOT:	this one makes sounds.
(00:12:00) *MOT:	move the box.
*MOT:	let’s move the box over here.
%com:	noise from toy.
(00:12:30) *CHI:	[xxx].
*MOT:	let’s put the box up on the table okay?
*MOT:	[xxx].
*MOT:	[xxx].
*MOT:	[xxx].
*MOT:	[xxx].
*MOT:	where are you going missypoo?
*MOT:	yeah.
(00:13:00) *MOT:	you like the car.
*CHI:	[xxx].
*MOT:	[xxx].
*MOT:	you like the car.
*CHI:	[xxx].
*MOT:	mhm.
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	[xxx].
*CHI:	byebye.
*MOT:	byebye.
*CHI:	byebye.
(00:13:30) *MOT:	byebye [xxx].
*MOT:	what is this?
*MOT:	what is this?
*MOT:	[xxx].
%com:	mother is whispering.
(00:14:00) *CHI:	[xxx].
*MOT:	I see.
*MOT:	I like this [xxx].
*MOT:	it’s very fuzzy.
%com:	noises from toys.
(00:14:30) *CHI:	byebye.
*MOT:	byebye.
*MOT:	what’s [xxx].
*MOT:	[xxx].
%com:	noise from toy.
*CHI:	[xxx].
(00:15:00) *CHI:	[xxx].
*MOT:	mhm.
%com:	noises from toy.
*MOT:	hi.
*CHI:	byebye.
(00:15:30) *MOT:	hi missy.
*MOT:	hi missypoo.
*MOT:	car.
*MOT:	we like the car huh?
*MOT:	we like the car.
*MOT:	brush.
*MOT:	brush.
%com:	noise from toy.
*MOT:	mhm brushing.
(00:16:00) *MOT:	oh [xxx].
%com:	mother is whispering.
*MOT:	brush.
*MOT:	[xxx] go.
*MOT:	where did the ball go?
%com:	noise from toy.
*CHI:	[xxx].
*MOT:	[xxx].
*MOT:	will you go to get the ball?
(00:16:30) *MOT:	hi.
*MOT:	good.
*MOT:	okay all right.
*MOT:	that was 15 minutes huh?
*MOT:	wow.
