FILE INFORMATION HEADING


@Begin
@Participants:		CHI: ###; MOM
@Filename:	XS_0801_transcript.doc
*CHI:	da.
*CHI:	da.
*FAT:	da.
*CHI:	[xxx] da.
*CHI:	[xxx].
*FAT:	not in your mouth.
(12:00)
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
*FAT:	hey.
*CHI:	[xxx].
(12:10) *CHI:	[xxx].
*CHI:	[xxx].
*FAT:	get that kitty cat.
(12:20) *FAT:	not in your mouth please.
*FAT:	not in your mouth please.
*CHI:	da.
*CHI:	[xxx].
*CHI:	[xxx].
(12:30) *CHI:	[xxx].
*FAT:	not oh  yeah in the plug.
*FAT:	that has protectors on it.
*FAT:	that one has protectors on it.
*FAT:	not in your mouth please.
(12:40) *FAT:	not in your mouth please.
*FAT:	no no.
*FAT:	good girl.
*CHI:	da.
*FAT:	dada.
(12:50) *CHI:	da.
*FAT:	da.
*CHI:	daddy.
*FAT:	daddy.
(13:00) *FAT:	going for the plug.
*FAT:	no no.
(13:10) *FAT:	no no.
*FAT:	oh no no.
*CHI:	[xxx].
*FAT:	what about the kitty cat?
(13:20) *FAT:	I don’t think you like stuffed animals too much.
*FAT:	he’s soft though.
*FAT:	isn’t he soft?
*CHI:	[xxx].
*FAT:	yeah.
(13:30) *FAT:	yeah.
*FAT:	soft.
*FAT:	kitty cat.
*FAT:	those are her whiskers.
(13:41) *FAT:	kitty cat whiskers.
*FAT:	hm yeah whiskers.
*FAT:	can I feel?
(13:50) *FAT:	they’re stiff huh?
*CHI:	[xxx].
*CHI:	[xxx].
%com:	father coughs.
*FAT:	yeah.
*FAT:	you got the kitty cat.
(14:00) *FAT:	how’s that carpet feel?
(14:10) 
(14:20) *CHI:	[xxx].
(14:30) *CHI:	[xxx].
(14:40) 
(14:50) *CHI:	da.
*CHI:	[xxx].
(15:00) *FAT:	Elana nonono.
*FAT:	it’s not a toy over there.
(15:10) *CHI:	[xxx].
*FAT:	Elana nono.
*FAT:	not a toy.
(15:20) *FAT:	hello.
*FAT:	yeah hi Ally.
*FAT:	everything’s going great.
(15:30) *FAT:	perfect.
*FAT:	she’s on to the video camera.
*FAT:	yeah.  
(15:40) *FAT:	anything dangerous is what she’s into.
%com:	father laughs.
*FAT:	thank you.
*FAT:	okay.
(15:50) *CHI:	[xxx].
*CHI:	[xxx].
(16:00)

[End of Audio]	

Duration: 16 minutes

