FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 0822; MOM
@Filename:	XS_0822_transcrirpt
(00:07:00) %com:	noises from toy.
*MOT:	do you like the manu?
*MOT:	yeah?
*MOT:	want to go round and round again?
%com:	mother hums.
(00:07:30) *MOT:	see the manu is white and blue.
*MOT:	it goes around and around and around.
*MOT:	white and blue.
*MOT:	it churns round and round and around.
*MOT:	round and round and round.
*CHI:	[xxx].
*CHI:	[xxx].
(00:08:00) *MOT:	how does it taste?
*MOT:	does it taste like a manu?
*CHI:	[xxx].
*MOT:	yeah?
%com:	noises from brushing.
*MOT:	grab that tima now.
*MOT:	oh you haven’t tast-
*MOT:	you haven’t tasted the tima?
(00:08:30) *MOT:	how does it taste?
*MOT:	careful.
%com:	mother laughs.
*MOT:	manu back in there.
*MOT:	you got the tima.
*MOT:	look it churns.
*MOT:	[xxx] makes that sound.
*MOT:	can you make the sound?
*CHI:	[xxx].
%com:	noises from toy.
*MOT:	yeah.
(00:09:00) *MOT:	how about this ball?
*MOT:	would you like the ball?
*MOT:	get the ball.
*MOT:	can you go get it? *MOT:	go get that ball.
*MOT:	go get that ball.
*MOT:	Grayden go get the ball.
*MOT:	it’s purple.
*MOT:	purple ball.
*MOT:	good job buddy go get it.
(00:09:30) *MOT:	yay.
*MOT:	good job.
*MOT:	good.
*MOT:	can you push it back to mama?
*MOT:	oh you did it.
*MOT:	you pushed it.
*CHI:	[xxx].
*MOT:	can you bring it back to mommy?
*MOT:	bring it back.
*MOT:	oh.
*MOT:	no not mommy’s shoes.
*MOT:	that’s not part of the toys.
(00:10:00) *CHI:	[xxx].
*MOT:	[xxx].
%com:	mother is making noises.
*MOT:	can you bring the ball back?
*MOT:	can you get the ball and bring it to mommy? *MOT:	that’s very good.
*MOT:	very good Grayden.
(00:10:30) *MOT:	yay do it again.
*MOT:	very good Grayden.
*CHI:	[xxx].
*MOT:	yeah.
%com:	mother gasps.
*MOT:	good job.
*MOT:	yay you rolled it back to mom.
*MOT:	good job.
*MOT:	okay now I’m going to push it back to Grayden.
*MOT:	you know daddy would want you to use that brush as a hockey stick.
*MOT:	you can hit the ball with the brush.
*MOT:	oh good job just like that.
(00:11:00) *MOT:	daddy would be happy.
*MOT:	do it again.
*MOT:	do it again.
%com:	mother laughs.
*MOT:	another yeah good job Grayden.
%com:	mother claps.
*MOT:	boom.
*CHI:	[xxx].
%com:	mother makes a sound.
*MOT:	good job.
*MOT:	all right should we play with another toy?
(00:11:30) %com:	mother makes noises.
*MOT:	all right let’s grab let’s grab this tima again.
*MOT:	look it it can go on mama’s knee.
*MOT:	do you want to come get it?
*MOT:	I wish I knew what this really was for.
*MOT:	I don’t really know.
*CHI:	[xxx].
(00:12:00) %com:	noises from toy.
*MOT:	it makes a great sound.
*MOT:	I think it’s a good hat.
*MOT:	hat.
*MOT:	does it taste good?
*MOT:	all right this tima is orange and white and makes sound.
(00:12:30) *MOT:	and this one is a brush.
*MOT:	[xxx] you like that brush.
%com:	noises from toy.
(00:13:00) %com:	mother makes noises.
*MOT:	Grayden how about we
*MOT:	it can be used can you use the brush and this at the same time?
*MOT:	what can we use them both for?
%com:	noises from toy.
(00:13:30) *MOT:	now what are you going to find?
*MOT:	a whole box.
*MOT:	are you going to play with the whole box?
*MOT:	and the clip.
*MOT:	okay.
%com:	noises from toy.
*MOT:	there you go you got that manu.
(00:14:00) *CHI:	[xxx].
%com:	noises from toy.
*MOT:	you put the manu in the tima spot though.
*MOT:	should we put it back?
*MOT:	put that tima back.
(00:14:30) *CHI:	[xxx].
*MOT:	now which one are you going to get?
*MOT:	oh.
*MOT:	of course the box is more most fun.
*MOT:	the box is most fun.
*MOT:	whoops.
*MOT:	so.
*MOT:	oh boy.
(00:15:00) *MOT:	I’m going to put it back.
*MOT:	one two.
*MOT:	let’s count the toys Grayden.
*MOT:	one two three four five.
*MOT:	where’d the ball go?
*MOT:	Grayden where’s the ball?
*MOT:	that’s the tima.
*MOT:	where’d the ball go?
*MOT:	your purple ball.
*MOT:	can you go get it?
(00:15:30) *MOT:	can you go get that purple ball?
*MOT:	Grayden go get the purple ball.
*MOT:	will you go get it?
*MOT:	go get it.
*MOT:	go get the ball.
*MOT:	hello.
*MOT:	hi.
*MOT:	good he likes the box best.
*MOT:	and the brush.
*MOT:	the brush hasn’t left his hand.
*MOT:	great.
*MOT:	cool.
     


	 
	 

